user_id,city,device_type,kyc_level,account_age_months,account_age_band,active_days_per_month,transactions_per_day,monthly_transaction_count,avg_transaction_amount,max_transaction_amount,total_monthly_spend,merchant_txn_ratio,peer_txn_ratio,merchant_count_month,peer_count_month,failed_transactions,failed_txn_ratio,refund_requests,refund_ratio,night_txn_ratio,weekend_txn_ratio,session_count,app_open_frequency,avg_session_duration_min,avg_gap_between_txn_hours,spend_volatility,avg_balance_before_txn,cashback_usage_ratio,suspicious_activity_score
UPI00037,Bengaluru,Android,Full,18,1-2y,25,7.34,207,288.4,972.64,58367.57,0.603,0.415,133,73,7,0.0384,2,0.0127,0.072,0.253,76,165,4.8,4.39,0.358,12441.01,0.29,27.78
UPI00038,Delhi,iOS,Full,26,2y+,13,5.01,86,702.8,1913.07,64111.65,0.918,0.102,84,5,5,0.0698,2,0.0285,0.044,0.333,45,87,2.36,5.65,0.362,49499.0,0.528,32.81
UPI00039,Kolkata,Android,Full,16,1-2y,23,7.3,178,227.54,514.22,37955.08,0.55,0.418,100,77,3,0.02,3,0.0236,0.053,0.373,81,185,5.14,6.37,0.123,4058.82,0.387,25.73
UPI00040,Ahmedabad,Android,Minimum,8,6-12m,23,2.84,66,486.77,1053.36,29952.53,0.627,0.343,35,26,0,0.0101,0,0.0001,0.071,0.371,52,76,3.87,9.48,0.118,8714.31,0.371,8.85
UPI00041,Ahmedabad,Android,Premium,21,1-2y,7,5.48,34,441.77,984.86,15214.89,0.548,0.492,12,22,5,0.1621,1,0.0349,0.048,0.387,10,15,1.96,20.45,0.19,7560.33,0.371,55.31
UPI00042,Bengaluru,Android,Premium,29,2y+,18,2.6,47,433.31,1197.86,17083.68,0.484,0.493,15,34,1,0.0292,0,0.0003,0.087,0.291,51,100,6.72,9.42,0.435,7526.47,0.304,19.05
UPI00043,Pune,Android,Full,23,1-2y,4,1.55,4,396.89,917.89,1544.35,0.479,0.495,0,2,0,0.0076,1,0.2,0.107,0.405,3,5,3.12,176.55,0.496,50,0.284,32.61
UPI00044,Hyderabad,Android,Minimum,27,2y+,18,6.65,114,671.13,1597.83,68625.08,0.907,0.101,72,43,5,0.045,2,0.0244,0.146,0.252,56,89,4.76,9.84,0.19,13671.43,0.443,27.19
UPI00045,Kolkata,Android,Full,32,2y+,26,3.56,69,2772.6,7353.61,161382.99,0.624,0.42,43,20,5,0.0858,1,0.0222,0.146,0.378,52,88,6.2,11.98,0.414,33711.88,0.377,30.08
UPI00046,Ahmedabad,Android,Premium,25,2y+,20,10.48,197,1322.89,3857.55,290216.86,0.585,0.379,106,87,20,0.1127,7,0.0445,0.381,0.431,55,142,2.05,4.8,0.673,206147.93,0.329,65.37
UPI00047,Ahmedabad,iOS,Full,12,6-12m,23,3.64,68,794.45,2284.01,46113.85,0.658,0.385,44,22,9,0.1376,0,0.0089,0.139,0.275,63,112,4.98,9.59,0.39,20103.53,0.365,37.2
UPI00048,Bengaluru,Android,Full,26,2y+,18,3.93,94,718.83,2356.75,71202.22,0.679,0.285,59,37,6,0.0764,0,0.0043,0.149,0.26,34,62,6.25,7.55,0.428,11699.44,0.423,27.99
UPI00049,Chennai,Android,Full,16,1-2y,19,4.18,51,827.33,1422.56,42438.89,0.9,0.085,48,1,4,0.0915,2,0.0467,0.066,0.282,46,72,9.41,13.71,0.305,13104.75,0.392,27.19
UPI00050,Pune,Android,Minimum,19,1-2y,28,10.16,241,273.77,836.86,62887.49,0.536,0.503,122,122,3,0.0161,1,0.0111,0.057,0.328,89,177,7.29,0.52,0.356,37704.96,0.256,17.92
UPI00051,Hyderabad,Android,Premium,15,1-2y,19,2.06,53,666.36,2654.07,34757.72,0.594,0.425,27,29,3,0.0709,2,0.0394,0.143,0.27,43,48,5.9,11.69,0.6,15206.86,0.385,25.68
UPI00052,Chennai,Android,Full,33,2y+,12,2.85,45,671.21,1711.85,33970.84,0.936,0.074,20,23,5,0.1165,4,0.0946,0.16,0.381,37,55,7.42,15.43,0.461,5375.5,0.397,56.35
UPI00053,Chennai,Android,Full,20,1-2y,24,8.28,225,140.81,342.11,31071.39,0.501,0.511,87,141,6,0.0325,2,0.0113,0.215,0.249,68,83,6.64,9.1,0.353,7500.34,0.255,39.87
UPI00054,Hyderabad,Android,Full,25,2y+,23,8.58,229,226.21,634.86,52700.03,0.504,0.476,114,117,6,0.0339,1,0.0132,0.204,0.325,96,162,4.13,3.07,0.47,19801.97,0.343,23.29
UPI00055,Kolkata,Android,Minimum,14,1-2y,18,4.73,106,201.06,524.23,23951.87,0.694,0.302,65,38,6,0.0709,0,0.0005,0.153,0.272,57,71,6.83,7.65,0.382,5613.7,0.422,19.61
UPI00056,Ahmedabad,iOS,Minimum,19,1-2y,26,3.63,94,225.96,299.07,23448.04,0.652,0.325,55,41,5,0.0663,2,0.0274,0.161,0.242,75,105,6.2,7.33,0.194,8194.43,0.335,34.16
UPI00057,Hyderabad,Android,Full,3,0-6m,20,8.01,164,293.49,785.79,48721.57,0.573,0.408,67,90,0,0.0053,3,0.0206,0.107,0.29,53,98,8.97,2.63,0.409,10489.5,0.303,37.16
UPI00058,Mumbai,Android,Full,27,2y+,21,9.34,193,2913.85,10283.86,571401.68,0.221,0.841,34,161,6,0.0472,9,0.0491,0.748,0.392,107,241,7.93,2.9,0.528,77465.5,0.235,56.75
UPI00059,Delhi,Android,Minimum,4,0-6m,8,1.58,23,214.38,358.82,4799.35,0.579,0.367,18,4,0,0.0024,0,0.0008,0.052,0.467,13,13,1.96,30.22,0.188,50,0.348,23.5
UPI00060,Delhi,iOS,Minimum,6,0-6m,13,4.77,73,806.9,2573.14,59627.66,0.875,0.099,60,13,0,0.0113,0,0.0028,0.164,0.408,30,46,3.38,15.31,0.593,9243.19,0.444,21.02
UPI00061,Hyderabad,Android,Full,9,6-12m,24,4.83,121,40,112.36,3985.65,0.658,0.344,64,55,3,0.031,0,0.0065,0.126,0.284,35,69,4.25,6.68,0.207,1829.85,0.37,32.73
UPI00062,Delhi,iOS,Minimum,20,1-2y,5,1.08,7,326.84,905.95,2299.81,0.547,0.406,6,0,0,0.0023,0,0.0023,0.135,0.189,6,6,4.18,101.09,0.424,335.35,0.367,10.15
UPI00063,Bengaluru,iOS,Full,17,1-2y,22,6.69,123,200.92,765.08,24821.44,0.516,0.531,43,83,3,0.0358,1,0.0178,0.19,0.38,84,185,6.34,8.73,0.517,15896.35,0.267,29.79
UPI00064,Hyderabad,Android,Minimum,15,1-2y,20,4.7,70,490.55,1144.96,38129.19,0.668,0.295,30,38,1,0.0218,0,0.0045,0.172,0.375,55,61,3.21,11.62,0.429,5001.73,0.312,19.11
UPI00065,Ahmedabad,Android,Full,10,6-12m,21,7.86,157,230.71,636.09,36123.2,0.641,0.35,71,85,4,0.0324,1,0.0163,0.182,0.326,50,63,6.52,4.37,0.29,22605.11,0.358,26.55
UPI00066,Delhi,Android,Full,22,1-2y,23,12.51,283,1058.54,3084.21,345182.03,0.593,0.37,143,140,20,0.0826,5,0.026,0.661,0.596,74,131,6.35,1.78,0.765,251504.49,0.32,69.91
UPI00067,Mumbai,Android,Full,1,0-6m,31,7.26,239,206.22,609.36,54805.51,0.56,0.425,117,123,6,0.0378,4,0.0203,0.098,0.305,91,165,5.9,0.2,0.694,33690.49,0.342,31.12
UPI00068,Delhi,Android,Full,3,0-6m,19,8.26,198,977.58,3253.35,186682.04,0.936,0.063,111,88,0,0.0136,3,0.0178,0.189,0.276,39,47,7.47,3.62,0.508,65391.55,0.471,20.51
UPI00069,Pune,Android,Full,14,1-2y,24,4.51,79,829.48,2261.91,70579.13,0.823,0.196,50,26,0,0.001,3,0.0448,0.12,0.378,54,77,2.91,10.16,0.134,51411.68,0.407,16.55
UPI00070,Hyderabad,Android,Minimum,6,0-6m,21,3.21,74,187.88,447.67,16090.66,0.902,0.111,37,40,3,0.0516,1,0.0152,0.181,0.241,65,91,6.24,8.11,0.328,6486.23,0.443,29.2
UPI00071,Mumbai,Android,Minimum,22,1-2y,17,2.59,31,2512.11,5190.49,75502.7,0.797,0.17,25,3,6,0.1983,0,0.0056,0.076,0.24,31,46,2.56,22.98,0.091,31406.17,0.427,41.16
UPI00072,Hyderabad,Android,Minimum,21,1-2y,27,6.97,219,200.13,551.2,42647.5,0.485,0.47,96,125,5,0.0306,1,0.0078,0.07,0.268,88,195,2.04,3.49,0.37,28046.2,0.346,28.65
UPI00073,Bengaluru,Android,Minimum,14,1-2y,20,5.88,113,207.38,683.42,25127.32,0.692,0.264,73,36,4,0.0434,1,0.0159,0.069,0.354,52,89,5.93,3.98,0.722,11610.1,0.307,25.87
UPI00074,Hyderabad,Android,Minimum,17,1-2y,8,0.11,1,223.81,602.91,263.93,0.645,0.384,1,0,3,0.35,1,0.2,0.035,0.256,11,17,4.89,250,0.359,2621.9,0.333,100
UPI00075,Ahmedabad,Android,Minimum,6,0-6m,4,1.31,4,413.46,1731.73,1377.79,0.486,0.556,0,2,2,0.35,0,0.0098,0.042,0.517,4,6,3.94,183.39,0.504,1617.29,0.263,75.42
UPI00076,Chennai,iOS,Full,20,1-2y,13,1.66,33,4261.49,16458.61,119800.48,0.789,0.211,25,13,1,0.0399,0,0.0083,0.17,0.216,21,27,3.23,21.32,0.674,73082.34,0.372,22.91
UPI00077,Ahmedabad,Android,Premium,17,1-2y,12,9.24,116,310.59,952.16,41294.14,0.321,0.726,28,85,4,0.0525,6,0.0562,0.672,0.318,57,148,11.48,9.84,0.599,16627.36,0.251,72.34
UPI00078,Mumbai,iOS,Full,25,2y+,21,4.15,84,1231.28,2578.43,91046.27,0.902,0.109,79,7,0,0.0068,1,0.0179,0.134,0.386,43,54,7.62,11.26,0.215,67173.87,0.445,27.06
UPI00079,Hyderabad,iOS,Full,17,1-2y,23,4.64,85,1637.72,4586.76,142415.51,0.427,0.582,30,53,17,0.2253,7,0.0894,0.735,0.576,79,236,3.39,8.28,0.57,66748.25,0.342,89.53
UPI00080,Pune,Android,Full,30,2y+,25,7.57,185,260.72,702.9,45446.74,0.488,0.494,67,113,4,0.0369,3,0.0222,0.128,0.364,88,192,4.05,3.93,0.295,17706.88,0.373,24.07
UPI00081,Pune,Android,Premium,31,2y+,22,6.51,150,186.77,451.36,28326.92,0.65,0.361,81,68,0,0.0088,2,0.0163,0.123,0.223,57,98,7.0,6.24,0.368,13693.83,0.304,15.13
UPI00082,Pune,Android,Full,19,1-2y,2,1.25,2,535.8,1653.88,882.81,0.326,0.595,0,2,0,0.0123,2,0.2,0.055,0.181,4,4,4.16,250,0.393,50,0.256,38.15
UPI00083,Bengaluru,Android,Premium,21,1-2y,6,0.71,8,386.74,1207.77,2654.05,0.466,0.595,2,3,0,0.0089,0,0.0017,0.119,0.194,2,3,4.66,88.1,0.289,413.55,0.29,20.23
UPI00084,Ahmedabad,iOS,Minimum,15,1-2y,2,0.86,1,392.8,762.63,338.37,0.397,0.603,0,0,3,0.35,0,0.0047,0.085,0.251,4,4,4.36,250,0.246,553.76,0.313,76.63
UPI00085,Hyderabad,Android,Full,24,1-2y,21,5.32,115,1872.49,6233.8,246458.52,0.436,0.621,31,79,16,0.1506,1,0.0175,0.471,0.496,92,156,10.0,5.97,0.688,67171.59,0.322,41.87
UPI00086,Chennai,Android,Premium,27,2y+,1,0.45,1,430.12,971.28,424.47,0.516,0.409,1,0,0,0.0085,1,0.2,0.11,0.264,6,10,4.17,250,0.356,3184.86,0.35,24.21
UPI00087,Hyderabad,Android,Full,38,2y+,12,4.1,52,849.99,1279.73,42326.26,0.944,0.059,29,21,2,0.0462,2,0.0469,0.044,0.243,32,39,5.76,15.06,0.061,19680.74,0.441,23.04
UPI00088,Mumbai,Android,Premium,26,2y+,15,4.68,52,1003.5,2890.17,53627.01,0.859,0.134,41,13,5,0.0974,0,0.0092,0.126,0.357,41,50,3.6,9.1,0.492,17042.55,0.459,24.95
UPI00089,Hyderabad,Android,Full,23,1-2y,19,8.09,135,877.85,3319.24,122737.55,0.369,0.659,34,102,22,0.1693,9,0.0707,0.343,0.395,96,174,10.09,6.77,0.579,44319.06,0.312,72.26
UPI00090,Hyderabad,iOS,Full,23,1-2y,22,6.44,160,258.89,797.73,39305.47,0.908,0.073,98,63,7,0.0503,3,0.0221,0.188,0.415,75,140,3.9,2.12,0.264,18401.2,0.532,22.56
UPI00091,Mumbai,Android,Minimum,14,1-2y,10,16.71,170,2067.62,7395.63,332931.83,0.481,0.613,54,113,25,0.1633,1,0.0095,0.398,0.47,15,37,11.6,5.57,0.729,198318.39,0.335,85.8
UPI00092,Ahmedabad,Android,Full,37,2y+,6,0.99,1,262.45,702.13,292.52,0.589,0.355,0,0,4,0.35,2,0.2,0.022,0.307,2,3,5.43,250,0.324,50,0.337,98.23
UPI00093,Mumbai,Android,Full,5,0-6m,14,5.63,66,660.69,1463.11,42087.11,0.52,0.511,24,42,5,0.09,4,0.0659,0.131,0.328,20,31,5.49,12.99,0.342,27610.64,0.274,48.26
UPI00094,Chennai,iOS,Minimum,31,2y+,11,5.13,70,688.24,1650.02,45388.9,0.838,0.158,37,33,0,0.0122,5,0.0748,0.148,0.335,28,38,3.06,14.33,0.264,16261.38,0.467,33.68
UPI00095,Mumbai,Android,Minimum,17,1-2y,23,6.69,161,147.31,360.05,26870.24,0.633,0.33,85,76,8,0.0577,0,0.0067,0.169,0.399,40,99,6.84,6.56,0.329,18997.36,0.43,16.85
UPI00096,Pune,Android,Full,9,6-12m,12,5.92,56,1550.43,4650.03,88842.35,0.485,0.396,17,36,3,0.0686,4,0.0769,0.329,0.452,39,91,12.84,15.67,0.615,34155.05,0.39,37.23
UPI00097,Hyderabad,Android,Full,27,2y+,14,6.57,84,160.48,429.41,13572.96,0.649,0.323,54,32,6,0.0845,0,0.0057,0.192,0.385,40,78,7.53,4.57,0.418,8936.53,0.307,25.75
UPI00098,Chennai,Android,Premium,36,2y+,17,7.27,133,546.88,1846.65,62255.17,0.901,0.07,117,14,2,0.023,2,0.0193,0.06,0.258,58,90,3.69,3.28,0.547,24741.46,0.363,20.76
UPI00099,Kolkata,Android,Full,14,1-2y,24,6.09,141,104.44,286.03,17306.32,0.687,0.349,74,70,2,0.0214,1,0.009,0.167,0.226,58,103,10.5,1.06,0.439,9318.37,0.411,29.51
UPI00100,Delhi,Android,Minimum,26,2y+,11,4.49,59,439.24,1342.17,21813.21,0.542,0.447,35,22,1,0.0306,3,0.0588,0.054,0.235,36,43,3.88,13.24,0.461,10289.42,0.38,21.21
UPI00101,Hyderabad,Android,Premium,21,1-2y,5,1.04,12,20,39.27,265.37,0.419,0.579,5,10,3,0.2559,0,0.0036,0.065,0.51,6,8,3.59,65.45,0.221,50,0.255,47.91
UPI00102,Chennai,Android,Minimum,18,1-2y,13,4.82,46,3170.92,8730.0,125411.18,0.721,0.261,22,24,0,0.0041,2,0.0468,0.057,0.227,24,35,3.94,20.32,0.215,94083.21,0.302,14.39
UPI00103,Ahmedabad,Android,Minimum,3,0-6m,15,3.77,67,959.67,2589.62,59799.37,0.933,0.092,42,23,1,0.0243,2,0.0359,0.041,0.252,35,55,4.41,11.21,0.386,39554.1,0.481,16.42
UPI00104,Pune,Android,Full,25,2y+,10,2.31,33,398.69,890.16,12126.71,0.609,0.459,17,14,1,0.0391,0,0.0015,0.041,0.22,21,22,0.5,21.48,0.431,6385.26,0.289,12.94
UPI00105,Delhi,Android,Minimum,26,2y+,5,1.0,7,70.75,221.86,460.32,0.52,0.404,0,2,2,0.2952,1,0.1504,0.053,0.243,5,7,1.71,101.36,0.448,232.82,0.286,74.83
UPI00106,Ahmedabad,Android,Premium,21,1-2y,23,5.9,150,340.42,851.55,50036.27,0.614,0.434,64,86,4,0.0369,4,0.0298,0.08,0.398,93,137,3.18,6.86,0.241,14870.55,0.383,29.32
UPI00107,Mumbai,Android,Premium,18,1-2y,15,3.18,64,815.56,2585.41,59669.38,0.542,0.493,32,35,1,0.0211,1,0.0234,0.088,0.232,37,56,4.9,12.28,0.529,21830.94,0.358,17.19
UPI00108,Chennai,Android,Full,10,6-12m,17,8.05,156,315.14,1005.79,46720.76,0.676,0.353,73,81,5,0.0409,2,0.0167,0.124,0.246,51,119,5.26,6.68,0.637,14915.24,0.384,22.38
UPI00109,Bengaluru,Android,Minimum,8,6-12m,13,0.91,10,105.93,223.05,1232.16,0.403,0.529,0,10,0,0.0084,0,0.0081,0.14,0.238,16,23,0.88,70.39,0.385,50,0.218,18.67
UPI00110,Chennai,Android,Full,16,1-2y,31,5.71,203,924.46,2093.4,210299.32,0.95,0.048,142,59,3,0.0249,2,0.0114,0.171,0.377,62,125,6.01,6.73,0.36,149157.82,0.492,28.51
UPI00111,Delhi,Android,Full,17,1-2y,2,9.79,18,913.29,2279.87,16531.89,0.249,0.679,0,18,16,0.35,3,0.1712,0.618,0.4,10,20,11.89,38.9,0.515,2141.41,0.287,100
UPI00112,Bengaluru,iOS,Full,14,1-2y,13,12.14,136,40,138.74,5553.17,0.48,0.614,54,86,19,0.1567,6,0.0519,0.708,0.631,38,61,3.41,8.8,0.499,5523.49,0.406,82.14
UPI00113,Pune,Android,Minimum,10,6-12m,18,4.88,86,144.24,340.84,11968.29,0.829,0.185,56,34,4,0.0496,3,0.0419,0.182,0.323,51,82,1.71,4.4,0.199,6411.16,0.472,31.05
UPI00114,Ahmedabad,Android,Full,10,6-12m,10,1.2,21,36.52,85.72,878.39,0.557,0.497,6,16,2,0.1041,1,0.0531,0.094,0.518,14,17,3.31,34.89,0.353,1877.9,0.313,30.33
UPI00115,Kolkata,Android,Premium,12,6-12m,16,2.24,30,465.93,1797.15,12276.16,0.929,0.049,17,7,4,0.1396,2,0.0764,0.178,0.237,46,70,8.41,23.95,0.548,9759.09,0.385,44.98
UPI00116,Chennai,iOS,Full,36,2y+,26,1.48,49,710.72,967.69,38826.71,0.818,0.192,40,9,0,0.0014,1,0.0224,0.17,0.365,38,42,3.89,16.42,0.201,5123.81,0.442,13.55
UPI00117,Kolkata,Android,Full,16,1-2y,17,4.92,74,3954.56,6834.24,275768.42,0.664,0.38,41,26,5,0.0729,0,0.0097,0.121,0.334,29,45,4.71,7.01,0.123,27636.98,0.382,26.15
UPI00118,Hyderabad,iOS,Full,35,2y+,23,4.26,85,825.11,2243.37,59558.7,0.891,0.13,37,45,4,0.056,3,0.0431,0.117,0.253,61,84,3.08,5.63,0.366,38872.65,0.492,20.25
UPI00119,Delhi,iOS,Full,13,1-2y,31,3.17,112,1597.28,3685.67,165487.11,0.855,0.144,89,24,7,0.0766,1,0.0109,0.105,0.242,91,125,6.21,8.51,0.12,61759.71,0.352,27.69
UPI00120,Pune,Android,Premium,23,1-2y,18,5.83,110,201.32,438.27,22833.87,0.585,0.377,54,59,4,0.0456,0,0.0098,0.137,0.342,47,107,4.85,7.48,0.238,11155.49,0.357,37.18
UPI00121,Chennai,Android,Full,17,1-2y,18,5.04,95,582.66,1541.56,56586.56,0.813,0.216,81,11,5,0.055,4,0.0495,0.113,0.297,48,63,2.83,5.36,0.332,28796.86,0.484,34.19
UPI00122,Kolkata,Android,Full,2,0-6m,31,4.68,179,401.48,806.7,73173.95,0.55,0.47,93,90,2,0.0258,1,0.014,0.171,0.305,55,96,4.98,2.66,0.05,37029.28,0.324,16.9
UPI00123,Kolkata,Android,Premium,13,1-2y,3,0.43,1,196.52,537.58,172.94,0.452,0.549,0,1,0,0.0117,0,0.0086,0.085,0.342,7,7,4.62,250,0.285,2943.43,0.369,1.3
